group_id,order,psqi,question,question_cn,question_type,header,header_cn,group_name,group_desc,questionnaire,category,publish,choice_options,group_desc_cn,_id,_createTime,_updateTime
1,1,10,What is your gender,您的性别,oneChoice,,,Biometric,,Custom+StopBang,Biometric,true,e7b7381564a93c14012b6f554fd66023,,8c454aa5646a32b7001076ae75aae4ed,1.68e+12,1.69e+12
2,1,14a,How SEVERE was your difficulty to fall asleep?,您有入睡困难吗？,oneChoice,During the past month:,在过去的一个月里:,Insomnia (ISI),"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",ISI,Sleep Issue,true,e7b7381564a93c14012b6f567cfb6f5d,"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",0122a587646a73fc0d67f1b820999887,1.68e+12,1693923033882
1,2,11,When were you born?,您的出生日期,exactYear,,,Biometric,,Custom+StopBang,Biometric,true,,dec,029a976264a954a8000026db3af2fcf0,1.69e+12,1.69e+12
5,4,5d,How often have you had trouble sleeping because you couldn't you breathe comfortably?,您有多少次因为呼吸不舒服而睡眠不好？,oneChoice,,,Sleep Disturbance,"For these next few questions, consider THE PAST MONTH. How often have you had trouble sleeping because you…",PSQI,Sleep disturbance,true,b22b43f564ba659c009e5a7a1249c3f8,"For these next few questions, consider THE PAST MONTH. How often have you had trouble sleeping because you…",80431f7a64bac13d01180c3168487b31,,1693920943570
2,2,14b,How SEVERE was your difficulty to remain asleep?,您入睡以后，睡眠状态难以维持吗？,oneChoice,,,Insomnia (ISI),"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",ISI,Sleep Issue,true,e7b7381564a93c14012b6f567cfb6f5d,"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",80431f7a64bac13d01180c1c21a47614,,1693920487272
3,5,132,"Before going to bed, How CONCERNED do you get about not being able to fall alseep?",在上床睡觉之前，您有多担心自己无法入睡？,oneChoice,,,Sleep Quality,"For these next few questions, consider THE PAST MONTH:",Custom,Sleep Quality+Emotion,true,b22b43f564ba659c009e5a772f3de6b1,"For these next few questions, consider THE PAST MONTH:",80431f7a64bac13d01180c264216d617,,1693920814853
1,3,12,How tall are you?,您的身高,exactHeight,,,Biometric,,Custom+StopBang,Biometric,true,,,80431f7a64bac13d01180c1a5f0564cc,,
7,8,126,I have problems to think clearly,我很难认真仔细的思考,oneChoice,,,Fatigue (1),"For these next few questions, consider THE PAST MONTH:",FAS,Mental Fatigue+Emotion,true,b22b43f564ba659c009e5a7d08187c78,"For these next few questions, consider THE PAST MONTH:",80431f7a64bac13d01180c4430d476bd,,
2,3,14c,How SEVERE was your problems waking up too early?,您的过早清醒有多严重？,oneChoice,,,Insomnia (ISI),"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",ISI,Sleep Issue,true,e7b7381564a93c14012b6f567cfb6f5d,"For these next few questions, consider THE PAST MONTH. Please rate the SEVERITY of your insomnia problem(s):",80431f7a64bac13d01180c1d72a96544,,1693920504067
6,2,98,How likely are you to doze off or fall asleep while watching TV,您看电视时，打瞌睡或睡着的可能性有多大？,oneChoice,,,Sleepiness (1),"How likely are you to doze off or fall asleep in the following situations, in contrast to just feeling tired?",ESS,Sleepiness,true,b22b43f564ba659c009e5a7b33b8fb19,"How likely are you to doze off or fall asleep in the following situations, in contrast to just feeling tired?",80431f7a64bac13d01180c377e6d529a,,1.69e+12
